model_name,point_index,precision,recall,threshold
ao1_logistic_regression_baseline,0,1.0,0.0,inf
ao1_logistic_regression_baseline,1,1.0,6.344775077723494e-05,0.9999761399483084
ao1_logistic_regression_baseline,2,1.0,0.00012689550155446988,0.9999761378115316
ao1_logistic_regression_baseline,3,1.0,0.00019034325233170484,0.9999749154952589
ao1_logistic_regression_baseline,4,1.0,0.00025379100310893977,0.9999746129336587
ao1_logistic_regression_baseline,5,1.0,0.00031723875388617475,0.9999742474867486
ao1_logistic_regression_baseline,6,1.0,0.0004441342554406446,0.999973786408574
ao1_logistic_regression_baseline,7,1.0,0.0005075820062178795,0.9999637484886728
ao1_logistic_regression_baseline,8,1.0,0.0006344775077723495,0.9999618537597196
ao1_logistic_regression_baseline,9,1.0,0.0006979252585495844,0.999961384743508
ao1_logistic_regression_baseline,10,1.0,0.0007613730093268193,0.999960996942267
ao1_logistic_regression_baseline,11,1.0,0.0008248207601040543,0.9999604763465584
ao1_logistic_regression_baseline,12,1.0,0.0008882685108812892,0.9999598968623364
ao1_logistic_regression_baseline,13,1.0,0.0009517162616585242,0.9999593635512456
ao1_logistic_regression_baseline,14,1.0,0.001015164012435759,0.9999591895963004
ao1_logistic_regression_baseline,15,1.0,0.001142059513990229,0.999958301053288
ao1_logistic_regression_baseline,16,1.0,0.001205507264767464,0.99995774914769
ao1_logistic_regression_baseline,17,1.0,0.001268955015544699,0.9999564241612174
ao1_logistic_regression_baseline,18,1.0,0.001332402766321934,0.9999563897366892
ao1_logistic_regression_baseline,19,1.0,0.0013958505170991687,0.9999559232411585
ao1_logistic_regression_baseline,20,1.0,0.0015227460186536387,0.9999550710894788
ao1_logistic_regression_baseline,21,1.0,0.0015861937694308737,0.999954904472104
ao1_logistic_regression_baseline,22,1.0,0.0016496415202081087,0.9999544771567436
ao1_logistic_regression_baseline,23,1.0,0.0017130892709853436,0.9999544730800533
ao1_logistic_regression_baseline,24,1.0,0.0017765370217625784,0.999954032625105
ao1_logistic_regression_baseline,25,1.0,0.0018399847725398134,0.9999534249651448
ao1_logistic_regression_baseline,26,1.0,0.0019668802740942836,0.9999534207942324
ao1_logistic_regression_baseline,27,1.0,0.002030328024871518,0.9999511436181392
ao1_logistic_regression_baseline,28,1.0,0.002093775775648753,0.9999503450824422
ao1_logistic_regression_baseline,29,1.0,0.002157223526425988,0.9999498380968644
ao1_logistic_regression_baseline,30,1.0,0.002220671277203223,0.9999492353090296
ao1_logistic_regression_baseline,31,1.0,0.002284119027980458,0.9999486583918524
ao1_logistic_regression_baseline,32,1.0,0.002411014529534928,0.9999478256123204
ao1_logistic_regression_baseline,33,1.0,0.002474462280312163,0.9999478035099452
ao1_logistic_regression_baseline,34,1.0,0.002664805532643868,0.9999475109233592
ao1_logistic_regression_baseline,35,1.0,0.002728253283421103,0.9999465256889314
ao1_logistic_regression_baseline,36,1.0,0.0028551487849755725,0.999945813945318
ao1_logistic_regression_baseline,37,1.0,0.0029185965357528074,0.9999455216052192
ao1_logistic_regression_baseline,38,1.0,0.0029820442865300424,0.9999452677906008
ao1_logistic_regression_baseline,39,1.0,0.0030454920373072774,0.999944848754272
ao1_logistic_regression_baseline,40,1.0,0.0031089397880845124,0.9999445442714336
ao1_logistic_regression_baseline,41,1.0,0.0031723875388617474,0.9999444683661746
ao1_logistic_regression_baseline,42,1.0,0.0032992830404162173,0.9999443983991624
ao1_logistic_regression_baseline,43,1.0,0.0033627307911934523,0.9999443175049616
ao1_logistic_regression_baseline,44,1.0,0.0034261785419706873,0.9999441215020738
ao1_logistic_regression_baseline,45,1.0,0.003553074043525157,0.9999439500369584
ao1_logistic_regression_baseline,46,1.0,0.003616521794302392,0.999943870222736
ao1_logistic_regression_baseline,47,1.0,0.0036799695450796268,0.9999437342798048
ao1_logistic_regression_baseline,48,1.0,0.0037434172958568618,0.9999425742257564
ao1_logistic_regression_baseline,49,1.0,0.0038068650466340967,0.9999425690831882
ao1_logistic_regression_baseline,50,1.0,0.0038703127974113317,0.9999423691773474
ao1_logistic_regression_baseline,51,1.0,0.003933760548188567,0.9999412184359424
ao1_logistic_regression_baseline,52,1.0,0.003997208298965801,0.9999410546306646
ao1_logistic_regression_baseline,53,1.0,0.004060656049743036,0.999939728642632
ao1_logistic_regression_baseline,54,1.0,0.004124103800520271,0.9999394849508996
ao1_logistic_regression_baseline,55,1.0,0.004187551551297506,0.9999389264357902
ao1_logistic_regression_baseline,56,1.0,0.004250999302074741,0.9999384015156338
ao1_logistic_regression_baseline,57,1.0,0.004314447052851976,0.9999378385683602
ao1_logistic_regression_baseline,58,1.0,0.004377894803629211,0.9999376262507746
