Order_Id,Order_Item_Id,split_partition,ao2_split_partition,ao1_predicted_late_delivery_probability,ao2_predicted_order_profit,ao3_predicted_margin,ao3_priority_segment,ao3_kmeans_cluster
61386,153557,test,test,0.9993766,17.971754,0.12351721013124865,protect_high_value_at_risk,1
61116,152868,test,test,0.32864788,9.871881,0.21238985862758972,preserve_service,0
70750,174065,test,test,0.7297045,38.430492,0.02815420688726963,protect_high_value_at_risk,1
66826,167043,test,test,0.742006,17.430304,0.13408956716759582,protect_high_value_at_risk,1
57821,144674,test,test,0.32864788,20.865248,0.11992210510298783,preserve_service,0
61207,153107,test,test,0.32864788,25.583744,0.11767510056425368,preserve_service,0
73603,176918,test,test,0.7509595,3.1939025,0.10714198421027994,protect_high_value_at_risk,1
61765,154409,test,test,0.3355803,28.745028,0.11685920824704794,preserve_service,0
62114,155296,test,test,0.3355803,40.980957,0.12053931321053461,preserve_service,0
67043,167602,test,test,0.7546797,15.043156,0.1812646831916187,protect_high_value_at_risk,1
65241,163039,test,test,0.7468454,39.212242,0.12254591155215894,protect_high_value_at_risk,1
72317,175632,test,test,0.3343398,18.294199,0.0717588405807129,preserve_service,0
71341,174656,test,test,0.32864788,37.36193,0.08346423382313949,preserve_service,0
60033,150265,test,test,0.32798168,19.657055,0.11986009086050638,preserve_service,0
72066,175381,test,test,0.7375379,36.60731,0.0781089256878394,protect_high_value_at_risk,1
60292,150855,test,test,0.32864788,27.787012,0.11579851360380765,preserve_service,0
68825,172067,test,test,0.74803925,28.553118,0.11468036888585743,protect_high_value_at_risk,1
69223,172538,test,test,0.31330436,11.584932,0.20424774467715548,preserve_service,0
66420,166038,test,test,0.9373163,44.19556,0.1188116542512879,protect_high_value_at_risk,1
73849,177164,test,test,0.9993766,15.431454,0.08719813301800432,protect_high_value_at_risk,1
70569,173884,test,test,0.32921022,37.58316,0.027839378074363427,preserve_service,0
69938,173253,test,test,0.3355803,39.5995,0.08760175649093967,preserve_service,0
61944,154861,test,test,0.73362774,5.7790384,0.15053499664200579,protect_high_value_at_risk,1
58449,146303,test,test,0.99938154,19.21284,0.1067439221039799,protect_high_value_at_risk,1
67109,167755,test,test,0.3355803,21.32897,0.11285766090654109,preserve_service,0
64801,161969,test,test,0.34036773,15.586954,0.12688826592565836,preserve_service,0
64549,161341,test,test,0.72904915,37.85259,0.1261879137985097,protect_high_value_at_risk,1
61799,154480,test,test,0.7398366,45.533737,0.11384003182753347,protect_high_value_at_risk,1
74302,177617,test,test,0.9369884,-5.1314344,-0.45898338983255293,expedite_selectively,1
59153,148047,test,test,0.32798168,44.818726,0.11672150711495631,preserve_service,0
68008,170022,test,test,0.3355803,17.692207,0.2033820872705305,preserve_service,0
65096,162687,test,test,0.75199944,38.15099,0.11922929002109042,protect_high_value_at_risk,1
63351,158390,test,test,0.75100404,30.606625,0.10203228483125892,protect_high_value_at_risk,1
67483,168696,test,test,0.99937844,25.1437,0.1232715570822681,protect_high_value_at_risk,1
61492,153783,test,test,0.33366778,23.554344,0.12267887592315674,preserve_service,0
58293,145870,test,test,0.3343398,14.876874,0.13223887973361545,preserve_service,0
64985,162444,test,test,0.3768365,26.149176,0.08895185065543652,protect_high_value_at_risk,0
59575,149110,test,test,0.7161472,13.170594,0.13943038686924647,protect_high_value_at_risk,1
68159,170416,test,test,0.33490703,26.411572,0.11739519960656461,preserve_service,0
68435,171102,test,test,0.3355803,18.276731,0.12185299567236077,preserve_service,0
67514,168786,test,test,0.3343398,30.60298,0.1159379475886753,preserve_service,0
65073,162635,test,test,0.3343398,12.054725,0.13698550787839023,preserve_service,0
58124,145441,test,test,0.31856775,27.40819,0.12281855762292035,preserve_service,0
62189,155495,test,test,0.3343398,11.248768,0.13391390300932385,preserve_service,0
59651,149283,test,test,0.33366778,13.047281,0.1235772025271815,preserve_service,0
58928,147512,test,test,0.99937844,27.705524,0.11916354599819388,protect_high_value_at_risk,1
59221,148233,test,test,0.99937844,15.287384,0.14945140188382897,protect_high_value_at_risk,1
71889,175204,test,test,0.051163282,37.32236,0.07535304242224664,preserve_service,0
76960,180275,test,test,0.32864788,18.589243,0.09066596617070587,preserve_service,0
68084,170217,test,test,0.7375983,22.20809,0.11569726588774543,protect_high_value_at_risk,1
59384,148668,test,test,0.30121028,22.729355,0.11716162298143525,preserve_service,0
60043,150284,test,test,0.9993766,10.088302,0.12871015581249426,protect_high_value_at_risk,1
58208,145644,test,test,0.33366778,18.11998,0.1104944158221791,preserve_service,0
58166,145542,test,test,0.31297958,15.051319,0.12450425342887754,preserve_service,0
60929,152445,test,test,0.6880926,14.604791,0.14610635076009282,protect_high_value_at_risk,1
68140,170360,test,test,0.33490703,25.205647,0.12357526286513831,preserve_service,0
67175,167909,test,test,0.33490703,29.35851,0.09986906467965379,preserve_service,0
59992,150157,test,test,0.33366778,12.927128,0.1198176653074925,preserve_service,0
66554,166352,test,test,0.33985308,7.477412,0.17811844463435927,preserve_service,0
67648,169129,test,test,0.73245513,13.579743,0.1400551105008833,protect_high_value_at_risk,1
67938,169833,test,test,0.75396377,33.44886,0.11799371691310197,protect_high_value_at_risk,1
65403,163453,test,test,0.32930294,15.419951,0.11755699969891291,preserve_service,0
65426,163510,test,test,0.32864788,22.334078,0.12272145260791813,preserve_service,0
68905,172220,test,test,0.99948394,3.0641341,0.1159778240599143,protect_high_value_at_risk,1
76404,179719,test,test,0.9993766,2.784824,0.08757308053636081,protect_high_value_at_risk,1
70778,174093,test,test,0.32864788,34.448906,0.02870742162068685,preserve_service,0
75180,178495,test,test,0.3318843,37.288757,0.07293216517707977,preserve_service,0
70908,174223,test,test,0.32401896,13.5087595,0.057440088093838056,preserve_service,0
59376,148650,test,test,0.7313969,40.42478,0.11230354137653213,protect_high_value_at_risk,1
63489,158711,test,test,0.33366778,16.099485,0.12510284479829079,preserve_service,0
76365,179680,test,test,0.33366778,5.5725756,0.14161564894090914,preserve_service,0
77027,180342,test,test,0.32864788,17.742025,0.09341841587783993,preserve_service,0
68524,171326,test,test,0.33137488,14.609792,0.06087413231531779,preserve_service,0
60163,150552,test,test,0.31542656,30.92418,0.113296126378222,preserve_service,0
71098,174413,test,test,0.34428915,15.756589,0.0759866362377511,preserve_service,0
72409,175724,test,test,0.99941707,18.3116,0.09190263353297522,protect_high_value_at_risk,1
